epoch,accuracy,loss,val_accuracy,val_loss
0,0.3667312562465668,1.3344149589538574,0.4063400626182556,1.2873425483703613
1,0.63935786485672,1.0032331943511963,0.6426513195037842,0.9409775733947754
2,0.7918627262115479,0.5930139422416687,0.6916426420211792,0.8159292936325073
3,0.8419595956802368,0.4193452298641205,0.6974063515663147,0.8116070628166199
4,0.8834763169288635,0.3330203592777252,0.6887608170509338,0.8231136202812195
5,0.9058953523635864,0.27614155411720276,0.7002881765365601,0.8713168501853943
6,0.9252698421478271,0.22733892500400543,0.6657060384750366,0.942261278629303
7,0.9399390816688538,0.19267265498638153,0.6772334575653076,1.0061733722686768
8,0.9515637755393982,0.16412682831287384,0.6743515729904175,1.0780259370803833
9,0.9543315768241882,0.14513836801052094,0.6685879230499268,1.1268748044967651
10,0.9620813727378845,0.12809638679027557,0.6772334575653076,1.1790052652359009
11,0.9667866230010986,0.11103347688913345,0.6743515729904175,1.2164338827133179
12,0.9656794667243958,0.10612908005714417,0.6657060384750366,1.3020272254943848
13,0.9665098190307617,0.10777159780263901,0.6599423885345459,1.3399327993392944
14,0.9698311686515808,0.09095815569162369,0.651296854019165,1.3867311477661133
15,0.9709382653236389,0.0920928493142128,0.6772334575653076,1.414339303970337
16,0.9723221659660339,0.08694156259298325,0.651296854019165,1.4322792291641235
17,0.973706066608429,0.0796317458152771,0.6628242135047913,1.6016923189163208
18,0.9725989699363708,0.08644158393144608,0.680115282535553,1.5278522968292236
19,0.977027416229248,0.07312603294849396,0.6628242135047913,1.5155085325241089
20,0.975089967250824,0.0717555359005928,0.651296854019165,1.5408062934875488
21,0.974259614944458,0.07825855910778046,0.6714697480201721,1.5718324184417725
22,0.976473867893219,0.06527545303106308,0.6657060384750366,1.597896695137024
23,0.9778577089309692,0.06430304795503616,0.6685879230499268,1.6121296882629395
24,0.975643515586853,0.0653378963470459,0.6484149694442749,1.6383126974105835
