epoch,accuracy,loss,val_accuracy,val_loss
0,0.26183226704597473,1.468925952911377,0.2593660056591034,1.4099197387695312
1,0.2817603051662445,1.4266071319580078,0.30547550320625305,1.3821412324905396
2,0.2773318588733673,1.3869751691818237,0.31700289249420166,1.3785256147384644
3,0.2806532084941864,1.387939691543579,0.30547550320625305,1.380561113357544
4,0.29476889967918396,1.384599208831787,0.31700289249420166,1.3828380107879639
5,0.31497371196746826,1.384324073791504,0.31700289249420166,1.3831063508987427
6,0.31940215826034546,1.3835694789886475,0.31700289249420166,1.382263422012329
7,0.31691116094589233,1.3825873136520386,0.31700289249420166,1.3811533451080322
8,0.31497371196746826,1.3812949657440186,0.31700289249420166,1.3808295726776123
9,0.3185718357563019,1.3807613849639893,0.31700289249420166,1.3795884847640991
